Model,Accuracy_Before,Accuracy_After,Error_Before,Error_After
Logistic Regression,0.8031272210376688,0.8031272210376688,0.19687277896233124,0.19687277896233124
Random Forest,0.7874911158493249,0.7953091684434968,0.21250888415067515,0.20469083155650325
SVM,0.7867803837953091,0.798862828713575,0.21321961620469088,0.20113717128642505
Decision Tree,0.7185501066098081,0.775408670931059,0.2814498933901919,0.22459132906894097
Naive Bayes,0.6439232409381663,0.6496090973702914,0.35607675906183367,0.3503909026297086
