model,accuracy,roc_auc
Logistic Regression,0.8031272210376688,0.8362914205548451
Random Forest,0.7874911158493249,0.8170726972475164
SVM,0.7867803837953091,0.7908524053817603
Decision Tree,0.7185501066098081,0.636638004669438
